Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
PX709782.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,1,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709783.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,2,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and PB1-F2 protein-like (PB1-F2) gene, complete sequence",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709784.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,3,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2208,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709785.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,4,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1752,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709786.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,5,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1540,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709787.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,6,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1433,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709788.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,7,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1002,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX709789.1,GenBank,GCA_054092785.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,,8,"Influenza A virus (A/Texas/339/2025(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",865,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-08-27,2025-12-16,ssRNA(-)
PX448723.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,4,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448724.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,7,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448725.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,6,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448726.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,5,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448727.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,8,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",838,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448728.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,3,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2151,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448729.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,2,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448730.1,GenBank,GCA_053037795.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16338,1,"Influenza A virus (A/Texas/USAFSAM-16338/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448731.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,4,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448732.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,7,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448733.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,6,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
PX448734.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,5,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-)
